,Unnamed: 0,committee,aggregate_subtotal,period_subtotal,aggregate_cash,period_cash,aggregate_exp_paid,period_exp_paid,aggregate_exp_unpaid,period_exp_unpaid,aggregate_receipts,period_receipts,local,Committee/Entity Name,SEECForm,Candidate/Chairperson,Treasurer,Office Sought,Committee Type,Funding Source,Report Type,Document Type,Filing Due Date,Received Date,Period Cover Start Date,Period Cover End Date,Election Year,File Year,District,link,pdf,csv,reports
0,0,Steve Obsitnik for Governor,"$171,422.27","$171,422.27","$110,964.29","$110,964.29","$60,457.98","$60,457.98",,$0.00,"$171,422.27","$171,422.27",SEEC30_January_10_Filing_51236.PDF,Steve Obsitnik for Governor,30,Steve Obsitnik,Joseph Sledge,Governor,Candidate,,January 10 Filing,Original,01/10/2018,01/10/2018,10/01/2017,12/31/2017,2018,2018,,https://seec.ct.gov/eCrisReporting//Data/Attachment/Unassigned/SEEC30_January_10_Filing_51236.PDF,False,False,False
1,0,Merrill 2018,"$30,611.95","$29,933.05","$19,960.36","$19,960.36","$10,651.59","$9,972.69",,$0.00,"$30,611.95","$19,331.95",SEEC30_January_10_Filing_51250.PDF,Merrill 2018,30,Denise W Merrill,Holly J Bates,Secretary of the State,Candidate,,January 10 Filing,Original,01/10/2018,01/04/2018,10/01/2017,12/31/2017,2018,2018,,https://seec.ct.gov/eCrisReporting//Data/Attachment/Unassigned/SEEC30_January_10_Filing_51250.PDF,False,False,False
2,0,Karen for SOS CT,"$13,960.00","$13,729.75","$13,729.75","$13,729.75",$230.25,$0.00,,"$6,550.01","$13,960.00","$5,945.00",SEEC30_January_10_Filing_51283.PDF,Karen for SOS CT,30,Karen Talamelli Cusick,Helen Riviere,Secretary of the State,Candidate,,January 10 Filing,Original,01/10/2018,01/08/2018,10/01/2017,12/31/2017,2018,2018,,https://seec.ct.gov/eCrisReporting//Data/Attachment/Unassigned/SEEC30_January_10_Filing_51283.PDF,False,False,False
3,0,Boucher For CT,"$82,580.00","$61,421.83","$21,166.35","$21,166.35","$61,413.65","$40,255.48",,$420.37,"$82,580.00","$23,690.00",SEEC30_January_10_Filing_51665.PDF,Boucher For CT,30,Toni Boucher,Ellen M Essman,Undetermined,Exploratory,,January 10 Filing,Original,01/10/2018,01/08/2018,10/01/2017,12/31/2017,2018,2018,,https://seec.ct.gov/eCrisReporting//Data/Attachment/Unassigned/SEEC30_January_10_Filing_51665.PDF,False,False,False
4,0,Lauretti Governor 2018,"$277,810.11","$205,058.36","$188,038.40","$188,038.40","$89,771.71","$17,019.96",,$0.00,"$277,810.11","$48,140.00",SEEC30_January_10_Filing_51770.PDF,Lauretti Governor 2018,30,Mark A Lauretti,Anthony Lauretti,Governor,Candidate,,January 10 Filing,Original,01/10/2018,01/10/2018,10/01/2017,12/31/2017,2018,2018,,https://seec.ct.gov/eCrisReporting//Data/Attachment/Unassigned/SEEC30_January_10_Filing_51770.PDF,False,False,False
5,0,Friends of Susan Exploratory Committee,"$146,350.50","$125,383.14","$90,433.58","$90,433.58","$55,916.92","$34,949.56",,$0.00,"$146,350.50","$105,372.50",SEEC30_January_10_Filing_51865.PDF,Friends of Susan Exploratory Committee,30,Susan Bysiewicz,Laura A Cahill,Undetermined,Exploratory,,January 10 Filing,Original,01/10/2018,01/10/2018,10/01/2017,12/31/2017,2018,2018,,https://seec.ct.gov/eCrisReporting//Data/Attachment/Unassigned/SEEC30_January_10_Filing_51865.PDF,False,False,False
6,0,Mike Handler for Governor 2018,"$209,784.00","$191,845.98","$152,316.79","$152,316.79","$57,467.21","$39,529.19",,$0.00,"$209,784.00","$92,799.00",SEEC30_January_10_Filing_51944.PDF,Mike Handler for Governor 2018,30,Michael E Handler,Stephen J Karl,Governor,Candidate,,January 10 Filing,Original,01/10/2018,01/09/2018,10/01/2017,12/31/2017,2018,2018,,https://seec.ct.gov/eCrisReporting//Data/Attachment/Unassigned/SEEC30_January_10_Filing_51944.PDF,False,False,False
7,0,Srinivasan For Governor,"$256,909.26","$223,484.27","$200,462.23","$200,462.23","$56,447.03","$23,022.04",,$0.00,"$256,909.26","$1,168.00",SEEC30_January_10_Filing_51963.PDF,Srinivasan For Governor,30,Prasad Srinivasan,Madhu Reddy,Governor,Candidate,,January 10 Filing,Original,01/10/2018,01/10/2018,10/01/2017,12/31/2017,2018,2018,,https://seec.ct.gov/eCrisReporting//Data/Attachment/Unassigned/SEEC30_January_10_Filing_51963.PDF,False,False,False
8,0,Mark for Comptroller,"$24,185.00","$14,709.07",$663.15,$663.15,"$23,521.85","$14,045.92",,"$3,127.00","$24,185.00","$3,615.00",SEEC30_January_10_Filing_51978.PDF,Mark for Comptroller,30,Mark D Greenberg,J Kenneth Nowell,State Comptroller,Candidate,,January 10 Filing,Original,01/10/2018,01/10/2018,10/01/2017,12/31/2017,2018,2018,,https://seec.ct.gov/eCrisReporting//Data/Attachment/Unassigned/SEEC30_January_10_Filing_51978.PDF,False,False,False
9,0,Stewart for Liberty,$111.00,$111.00,$101.01,$101.01,$9.99,$9.99,,$0.00,$111.00,$111.00,SEEC30_January_10_Filing_52568.PDF,Stewart for Liberty,30,Mark Stewart Greenstein,Michelle D Ambrosio,Governor,Candidate,,January 10 Filing,Original,01/10/2018,01/09/2018,10/02/2017,12/31/2017,2018,2018,,https://seec.ct.gov/eCrisReporting//Data/Attachment/Unassigned/SEEC30_January_10_Filing_52568.PDF,False,False,False
